artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of
Michael Jackson,Thriller,True,https://www.whosampled.com/Michael-Jackson/Thriller/,1982,326,0,129,0,12,0
Dua Lipa,Break My Heart,True,https://www.whosampled.com/Dua-Lipa/Break-My-Heart/,2020,7,0,8,0,6,0
Dua Lipa,Don't Start Now,True,https://www.whosampled.com/Dua-Lipa/Don%27t-Start-Now/,2019,13,0,20,0,8,0
Ty Dolla $ign;Post Malone,Spicy,False,,,,,,,,
J Balvin;Dua Lipa;Bad Bunny;Tainy,UN DIA (ONE DAY),True,https://www.whosampled.com/J-Balvin/UN-DIA/,,0,0,0,0,0,0
Taylor Swift,cardigan,True,https://www.whosampled.com/Taylor-Swift/cardigan/,2020,2,0,14,0,1,0
Joel Corry;MNEK,Head & Heart,True,https://www.whosampled.com/Joel-Corry/Head/,,0,0,0,0,0,0
G-Eazy;blackbear,Hate The Way (feat. blackbear),True,https://www.whosampled.com/G-Eazy/Hate-The-Way/,2020,0,0,2,0,0,0
Marshmello;Demi Lovato,OK Not To Be OK,True,https://www.whosampled.com/Marshmello/OK-Not-To-Be-OK/,2020,0,0,1,0,2,0
BLACKPINK;Selena Gomez,Ice Cream (with Selena Gomez),True,https://www.whosampled.com/BLACKPINK/Ice-Cream/,2020,1,0,6,0,0,0
Topic;A7S,Breaking Me,True,https://www.whosampled.com/Topic/Breaking-Me/,2019,4,0,2,0,5,0
Machine Gun Kelly,bloody valentine,True,https://www.whosampled.com/Machine-Gun-Kelly/bloody-valentine/,2020,0,0,2,0,0,0
Clairo,Sofia,True,https://www.whosampled.com/Clairo/Sofia/,2019,2,0,3,0,0,0
BLACKPINK,Lovesick Girls,True,https://www.whosampled.com/BLACKPINK/Lovesick-Girls/,2020,1,0,4,0,0,0
Calvin Harris;The Weeknd,Over Now (with The Weeknd),True,https://www.whosampled.com/Calvin-Harris/Over-Now/,2020,0,0,2,0,0,0
KAROL G,"Ay, DiOs Mío!",True,https://www.whosampled.com/KAROL-G/Ay-DiOs-Mío/,,0,0,0,0,0,0
Ashe;Niall Horan,Moral of the Story (feat. Niall Horan),True,https://www.whosampled.com/Ashe/Moral-of-the-Story/,2019,0,0,3,0,1,0
Doja Cat,Say So,True,https://www.whosampled.com/Doja-Cat/Say-So/,2019,9,0,18,0,6,0
Maren Morris,The Bones,True,https://www.whosampled.com/Maren-Morris/The-Bones/,2019,1,0,6,0,2,0
Ashley McBryde,One Night Standards,True,https://www.whosampled.com/Ashley-McBryde/One-Night-Standards/,,0,0,0,0,0,0
Justin Bieber;Quavo,Intentions,True,https://www.whosampled.com/Justin-Bieber/Intentions/,2020,1,0,14,0,0,0
Ariana Grande;Justin Bieber,Stuck with U (with Justin Bieber),True,https://www.whosampled.com/Ariana-Grande/Stuck/,,0,0,0,0,0,0
Florida Georgia Line,I Love My Country,True,https://www.whosampled.com/Florida-Georgia-Line/I-Love-My-Country/,2020,0,0,1,0,0,0
Nas;Fivio Foreign;A$AP Ferg,Spicy (feat. Fivio Foreign & A$AP Ferg),True,https://www.whosampled.com/Nas/Spicy/,,0,0,0,0,0,0
Lil Baby,Emotionally Scarred,True,https://www.whosampled.com/Lil-Baby/Emotionally-Scarred/,2020,0,0,0,0,0,0
Marshmello;Halsey,Be Kind (with Halsey),True,https://www.whosampled.com/Marshmello/Be-Kind/,2020,1,0,3,0,4,0
Trevor Daniel,Falling,True,https://www.whosampled.com/Trevor-Daniel/Falling/,2018,2,0,3,0,2,0
Taylor Swift,august,True,https://www.whosampled.com/Taylor-Swift/august/,2020,1,0,4,0,0,0
Surfaces,Sunday Best,True,https://www.whosampled.com/Surfaces/Sunday-Best/,2019,0,0,5,0,0,0
6ix9ine,GOOBA,True,https://www.whosampled.com/6ix9ine/GOOBA/,2020,1,0,2,0,0,0
6ix9ine;Nicki Minaj,TROLLZ (with Nicki Minaj),True,https://www.whosampled.com/6ix9ine/TROLLZ/,2020,2,0,2,0,1,0
Travis Denning,After A Few,True,https://www.whosampled.com/Travis-Denning/After-A-Few/,,0,0,0,0,0,0
BLACKPINK,How You Like That,True,https://www.whosampled.com/BLACKPINK/How-You-Like-That/,2020,5,0,10,0,0,0
Bad Bunny,Yo Perreo Sola,True,https://www.whosampled.com/Bad-Bunny/Yo-Perreo-Sola/,2020,3,0,1,0,1,0
6ix9ine,YAYA,True,https://www.whosampled.com/6ix9ine/YAYA/,2020,0,0,0,0,0,0
Maroon 5,Memories,True,https://www.whosampled.com/Maroon-5/Memories/,2019,4,0,26,0,4,0
blackbear,hot girl bummer,True,https://www.whosampled.com/blackbear/hot-girl-bummer/,2019,1,0,7,0,1,0
Billie Eilish,everything i wanted,True,https://www.whosampled.com/Billie-Eilish/everything-i-wanted/,2019,4,0,27,0,0,0
Lil Baby,All In,True,https://www.whosampled.com/Lil-Baby/All-In/,,0,0,0,0,0,0
Regard,Ride It,True,https://www.whosampled.com/Regard/Ride-It/,2019,2,0,3,0,4,0
Sleepy Hallow;Fousheé,Deep End Freestyle,True,https://www.whosampled.com/Sleepy-Hallow/Deep-End-Freestyle/,2020,0,0,0,0,0,0
Camila Cabello;DaBaby,My Oh My (feat. DaBaby),True,https://www.whosampled.com/Camila-Cabello/My-Oh-My/,2019,0,0,3,0,1,0
Lady Gaga,Stupid Love,True,https://www.whosampled.com/Lady-Gaga/Stupid-Love/,2020,2,0,6,0,2,0
Eminem;Juice WRLD,Godzilla (feat. Juice WRLD),True,https://www.whosampled.com/Eminem/Godzilla/,2020,9,0,6,0,0,0
Kygo;OneRepublic,Lose Somebody,True,https://www.whosampled.com/Kygo/Lose-Somebody/,2020,0,0,2,0,0,0
Lewis Capaldi,Someone You Loved,True,https://www.whosampled.com/Lewis-Capaldi/Someone-You-Loved/,2018,9,0,47,0,1,0
Lil Tjay;Fivio Foreign;Pop Smoke,Zoo York (feat. Fivio Foreign & Pop Smoke),True,https://www.whosampled.com/Lil-Tjay/Zoo-York/,2020,1,0,0,0,0,0
Ingrid Andress,More Hearts Than Mine,True,https://www.whosampled.com/Ingrid-Andress/More-Hearts-Than-Mine/,2020,0,0,3,0,0,0
Halsey,You should be sad,True,https://www.whosampled.com/Halsey/You-should-be-sad/,2020,1,0,6,0,2,0
